,pval,log2fc,pre_mean,on_mean,qval
AC012645.3,0.024192234046045997,-0.9138881,32.300365,60.85765,0.5117983572626857
AC017002.1,0.03441964763017063,-0.6230681,108.63634,167.31593,0.528509652811268
AC021188.1,0.0004939984000349455,-1.6196992,29.863289,91.773155,0.1040004047441897
AC023157.3,0.02568419282072375,-1.3145678,30.726881,76.4263,0.5117983572626857
AC048341.1,0.025061748459951672,-1.380267,10.020896,26.086052,0.5117983572626857
AC243829.4,0.018149565631508185,-0.5219982,553.76184,795.1703,0.4633539954170056
ADAM28,0.03281628411634426,1.3192656,90.53631,36.28142,0.528509652811268
AL139274.2,0.03164552217622075,-2.1284149,7.9642506,34.822636,0.528509652811268
AL512625.1,0.006853257922878577,-2.1543984,6.895294,30.696676,0.28625969823509556
AL627171.1,0.0011405855447850198,-1.4706225,68.40755,189.58568,0.15286373136335885
ALOX5,0.036306901019243776,-3.1806722,1.6682084,15.126138,0.528509652811268
ALOX5AP,0.0260113972490316,0.15934846,4195.7554,3757.0027,0.5117983572626857
AMT,0.01070742579153091,-1.9230633,9.735973,36.92148,0.38016062344115714
ANKRD28,0.019009025026008496,-0.9014154,424.27344,792.4994,0.47086314559845666
ANKS1B,0.04559234720034123,-1.0035918,67.12399,134.58263,0.528509652811268
ANTXR2,0.0035106964713513995,-1.2900283,65.5909,160.3913,0.22964578285431506
AREG,0.02250734835956586,-1.3708181,334.908,866.12964,0.5004282456476801
ARID5B,0.006510221438455567,-0.5267996,690.0297,994.14624,0.2849973102648313
ARMH1,0.015235574129328912,-0.54498374,308.52835,450.14407,0.4445998100980058
ARRDC3,0.008518821704849598,-0.767863,145.48904,247.73085,0.33409916666155565
ATF3,0.0012265505683361458,-1.7310175,69.2755,229.96823,0.15369857643465676
ATP1B1,0.03948508232904661,1.4780287,147.69855,53.020676,0.528509652811268
AZGP1,0.007347064283014481,1.3561773,158.10901,61.759895,0.29809694926670277
BCL2L11,0.0002043150880753072,-0.75772387,314.05264,531.0068,0.07416639109101375
BHLHE40,0.03802064481802228,0.39755127,1218.043,924.6721,0.528509652811268
BTG2,0.0011481301736610311,0.7681422,1416.0903,831.4902,0.15286373136335885
C1orf54,0.04293238287883238,-2.593341,4.9481463,29.861803,0.528509652811268
C1QA,0.01789080558844039,-2.331828,40.46486,203.71747,0.4633539954170056
C1QB,0.04593232439913788,-2.1891341,38.415993,175.18912,0.528509652811268
CAPG,0.024066509469394766,0.4428972,1737.5774,1278.2589,0.5117983572626857
CARMIL3,0.02060428883764977,-1.9605993,14.417875,56.117775,0.4955571338768502
CBLB,0.0034669350555460786,-0.45091477,1598.7893,2185.3958,0.22964578285431506
CCDC112,0.011326288027969249,-1.4767509,10.861538,30.229963,0.3891609191318244
CCND2,0.0023898082845098174,0.40507418,1911.334,1443.4346,0.21212171464748453
CCNH,0.013245699112404434,-0.4469616,620.9129,846.4076,0.41745249358042347
CD160,0.0031179955666090185,1.2163156,112.99902,48.63257,0.22964578285431506
CD38,0.042107121310507,-0.49079016,945.8729,1329.1542,0.528509652811268
CD55,0.000537024879382311,-1.2313554,138.89389,326.10547,0.1040004047441897
CD79A,0.02087930194622598,-1.0789051,53.36122,112.72197,0.4955571338768502
CEBPD,0.029860979904347003,-1.2960268,141.8844,348.39957,0.528509652811268
CEMIP2,0.00384878611993327,-0.5623909,812.3786,1199.6512,0.22964578285431506
CH25H,0.0008746091521888111,-5.0097413,1.8624072,60.0008,0.1358475556156874
CHST12,0.044013849379591054,0.24874671,2156.2146,1814.7289,0.528509652811268
CISH,0.001301812588565107,1.1077539,893.4541,414.5769,0.15406687374659792
CLNK,0.032736950067136734,0.593311,443.49808,293.95938,0.528509652811268
COL5A2,0.04538753002180179,2.018516,61.16432,15.096085,0.528509652811268
COL8A1,0.0323590000542855,2.2250211,70.67526,15.117131,0.528509652811268
CPT1B,0.02255172355624218,-1.9840708,5.576453,22.060884,0.5004282456476801
CRTAM,0.036891577041515924,-0.43404227,534.82385,722.5543,0.528509652811268
CRYBG1,0.004996248034117246,-0.9557116,259.8681,504.02356,0.2534124854092234
CSF1,0.02618738162264274,0.6020586,1037.4574,683.49066,0.5117983572626857
CTLA4,0.00031334036714967975,-0.695958,1368.2216,2216.4639,0.07416639109101375
